Fsm,No_of_testcases,No_of_threads,Time taken
ntp.test,16384,8,2.271941
ntp.test,131072,8,22.380192
ntp.test,4096,4,1.090573
ntp.test,1374290,8,3763.51029
ntp.test,1374290,4,6540.031484
ntp.test,131072,1,100.173541
ntp.test,16384,1,10.505685
ntp.test,1374290,32,1441.532662
ntp.test,65536,8,10.069456
ntp.test,16384,32,5.129642
ntp.test,256,32,4.137964
ntp.test,65536,1,50.601851
ntp.test,1374290,1,13240.973177
ntp.test,256,8,0.031708
quake-halflife.test,10,4,0.004749
quake-halflife.test,10,1,0.002933
quake-halflife.test,10,32,0.013409
quake-halflife.test,10,8,0.006356
battlefield2.test,65536,8,16.390175
battlefield2.test,16384,32,2.608438
battlefield2.test,131072,4,102.111512
battlefield2.test,1476790,32,1116.731183
battlefield2.test,65536,32,11.826667
battlefield2.test,4096,1,7.265184
battlefield2.test,4096,32,4.616239
battlefield2.test,256,8,0.033035
battlefield2.test,1476790,8,2781.800161
battlefield2.test,256,4,0.057061
battlefield2.test,1476790,1,11586.345
battlefield2.test,131072,1,240.088548
battlefield2.test,256,32,0.024165
battlefield2.test,16384,1,22.61137
battlefield2.test,4096,4,2.622825
battlefield2.test,16384,4,8.464292
battlefield2.test,65536,4,29.303366
battlefield2.test,131072,8,52.435822
battlefield2.test,16384,8,4.937091
battlefield2.test,256,1,0.149321
battlefield2.test,1476790,4,4736.228757
battlefield2.test,131072,32,27.315259
battlefield2.test,65536,1,104.975987
battlefield2.test,4096,8,1.403184
sip.test,30,32,0.014946
sip.test,30,1,0.006914
sip.test,30,4,0.006984
sip.test,30,8,0.007613
ftp.test,4096,8,0.417023
ftp.test,49100,4,20.562152
ftp.test,4096,1,2.634907
ftp.test,256,1,0.148553
ftp.test,4096,32,0.17628
ftp.test,16384,32,0.888034
ftp.test,49100,8,12.516769
ftp.test,256,8,0.027937
ftp.test,16384,8,1.913865
ftp.test,49100,1,45.703036
ftp.test,4096,4,0.829646
ftp.test,16384,4,3.524827
ftp.test,16384,1,6.857868
ftp.test,256,4,0.047701
ftp.test,49100,32,7.87441
ftp.test,256,32,0.022349
yahoo.test,4096,1,4.384086
yahoo.test,131072,4,51.432127
yahoo.test,256,1,0.081435
yahoo.test,16384,1,9.580846
yahoo.test,16384,8,2.417211
yahoo.test,4096,4,1.169425
yahoo.test,256,4,0.062089
yahoo.test,2627400,32,3561.247234
yahoo.test,256,8,0.034292
yahoo.test,2627400,1,33704.154722
yahoo.test,256,32,4.453089
yahoo.test,16384,32,1.096929
yahoo.test,2627400,8,9575.171969
yahoo.test,65536,32,5.80061
yahoo.test,4096,8,0.62969
yahoo.test,4096,32,0.314007
yahoo.test,131072,8,34.11411
yahoo.test,2627400,4,16872.527501
yahoo.test,65536,8,11.316335
yahoo.test,65536,1,53.420443
yahoo.test,16384,4,5.25857
yahoo.test,131072,1,121.555703
yahoo.test,131072,32,15.482515
yahoo.test,65536,4,17.238329
ncp.test,131072,32,21.081142
ncp.test,65536,4,21.648674
ncp.test,131072,4,61.70908
ncp.test,704610,8,334.003294
ncp.test,16384,4,6.548401
ncp.test,256,4,0.057969
ncp.test,4096,1,3.728065
ncp.test,256,32,0.021791
ncp.test,256,8,0.035549
ncp.test,65536,8,14.716843
ncp.test,4096,8,1.063405
ncp.test,256,1,0.063486
ncp.test,16384,1,17.73958
ncp.test,4096,4,1.961077
ncp.test,704610,32,213.271793
ncp.test,131072,1,152.59022
ncp.test,704610,1,1668.071734
ncp.test,65536,32,8.070874
ncp.test,4096,32,4.711641
ncp.test,16384,32,1.829775
ncp.test,16384,8,3.669678
ncp.test,65536,1,78.957395
ncp.test,704610,4,579.610614
ncp.test,131072,8,30.834077
dayofdefeat-source.test,256,4,0.061879
dayofdefeat-source.test,131072,8,19.92513
dayofdefeat-source.test,65536,4,18.993724
dayofdefeat-source.test,256,1,0.173695
dayofdefeat-source.test,256,32,3.407843
dayofdefeat-source.test,4096,4,1.140231
dayofdefeat-source.test,131072,1,120.289209
dayofdefeat-source.test,65536,8,10.303076
dayofdefeat-source.test,65536,1,52.143746
dayofdefeat-source.test,16384,32,1.064732
dayofdefeat-source.test,512320,8,478.755759
dayofdefeat-source.test,4096,8,0.611601
dayofdefeat-source.test,16384,8,2.363573
dayofdefeat-source.test,16384,1,9.532307
dayofdefeat-source.test,256,8,0.03555
dayofdefeat-source.test,16384,4,4.38639
dayofdefeat-source.test,4096,1,3.798186
dayofdefeat-source.test,512320,4,714.209354
dayofdefeat-source.test,65536,32,5.337352
dayofdefeat-source.test,4096,32,4.607998
dayofdefeat-source.test,512320,32,205.579345
dayofdefeat-source.test,512320,1,1411.648035
dayofdefeat-source.test,131072,32,12.214846
dayofdefeat-source.test,131072,4,40.684305
bgp.test,16384,32,1.414289
bgp.test,16384,4,5.40405
bgp.test,256,1,0.118172
bgp.test,4096,8,0.755404
bgp.test,16384,1,12.42891
bgp.test,64530,32,6.785653
bgp.test,64530,8,12.504339
bgp.test,4096,1,4.679445
bgp.test,64530,4,18.653596
bgp.test,64530,1,65.968646
bgp.test,256,8,0.045258
bgp.test,256,4,0.075638
bgp.test,4096,32,4.678817
bgp.test,256,32,0.027587
bgp.test,4096,4,1.500334
bgp.test,16384,8,3.040756
h323.test,131072,4,78.320724
h323.test,16384,32,3.295328
h323.test,2241830,4,23872.900458
h323.test,131072,1,157.338885
h323.test,2241830,32,4993.864134
h323.test,256,32,4.451273
h323.test,65536,32,7.939223
h323.test,4096,32,0.267633
h323.test,256,8,0.032476
h323.test,65536,8,11.133211
h323.test,131072,8,39.799691
h323.test,65536,4,23.280589
h323.test,2241830,8,14569.762489
h323.test,4096,8,0.585621
h323.test,16384,1,9.09419
h323.test,256,1,0.075499
h323.test,65536,1,51.634109
h323.test,2241830,1,44156.140272
h323.test,16384,4,4.227431
h323.test,4096,4,1.086733
h323.test,16384,8,2.258742
h323.test,256,4,0.053359
h323.test,131072,32,23.044106
h323.test,4096,1,3.192242
tsp.test,131072,8,30.424598
tsp.test,16384,4,5.301662
tsp.test,16384,1,10.420618
tsp.test,65536,1,62.185471
tsp.test,16384,8,2.604876
tsp.test,256,8,0.037854
tsp.test,65536,32,10.257469
tsp.test,4096,8,0.680046
tsp.test,1162510,8,2391.401258
tsp.test,256,4,0.064114
tsp.test,256,32,0.028355
tsp.test,131072,4,58.154853
tsp.test,1162510,1,7720.225083
tsp.test,16384,32,1.30799
tsp.test,65536,4,26.318551
tsp.test,1162510,32,1036.10915
tsp.test,4096,4,1.261545
tsp.test,256,1,0.089816
tsp.test,131072,1,128.907141
tsp.test,1162510,4,3932.565888
tsp.test,65536,8,13.665591
tsp.test,4096,1,2.403453
tsp.test,131072,32,17.10961
tsp.test,4096,32,0.332864
ventrilo.test,256,4,0.085486
ventrilo.test,4096,4,1.13171
ventrilo.test,16384,4,4.472156
ventrilo.test,64260,32,6.092197
ventrilo.test,16384,1,9.247074
ventrilo.test,64260,4,19.889718
ventrilo.test,4096,8,0.604547
ventrilo.test,4096,32,4.658493
ventrilo.test,256,8,0.046445
ventrilo.test,64260,1,38.264297
ventrilo.test,16384,32,4.876327
ventrilo.test,4096,1,2.317338
ventrilo.test,16384,8,2.451434
ventrilo.test,256,32,0.028914
ventrilo.test,64260,8,9.817538
ventrilo.test,256,1,0.129137
rlogin.test,16480,32,2.464564
rlogin.test,256,32,0.018648
rlogin.test,16384,1,14.694843
rlogin.test,4096,1,2.679116
rlogin.test,16384,8,5.208703
rlogin.test,4096,4,0.966046
rlogin.test,256,4,0.028774
rlogin.test,256,8,0.018648
rlogin.test,16384,4,7.973864
rlogin.test,16480,8,5.410265
rlogin.test,16480,4,8.381459
rlogin.test,4096,32,0.205962
rlogin.test,256,1,0.097638
rlogin.test,16384,32,3.686788
rlogin.test,4096,8,0.495804
rlogin.test,16480,1,16.570853
guildwars.test,256,4,0.055035
guildwars.test,256,32,4.448828
guildwars.test,500,8,0.08807
guildwars.test,500,1,0.311144
guildwars.test,256,8,0.029124
guildwars.test,256,1,0.076616
guildwars.test,500,32,4.464962
guildwars.test,500,4,0.159308
mohaa.test,10,8,0.008172
mohaa.test,10,4,0.006845
mohaa.test,10,1,0.005797
mohaa.test,10,32,0.016971
tftp.test,4096,1,1.92909
tftp.test,131072,1,213.99466
tftp.test,16384,32,0.889081
tftp.test,131072,32,31.240555
tftp.test,150400,8,99.526044
tftp.test,16384,1,8.172353
tftp.test,150400,32,41.037699
tftp.test,150400,4,149.968658
tftp.test,256,4,0.040928
tftp.test,65536,4,23.681827
tftp.test,4096,4,0.785437
tftp.test,16384,8,1.898988
tftp.test,65536,8,15.874325
tftp.test,131072,8,73.329087
tftp.test,4096,32,4.556035
tftp.test,65536,1,61.131005
tftp.test,65536,32,8.207344
tftp.test,16384,4,3.420972
tftp.test,256,1,0.056502
tftp.test,4096,8,0.394185
tftp.test,131072,4,125.933433
tftp.test,256,8,0.023467
tftp.test,150400,1,280.691047
tftp.test,256,32,0.020464
subspace.test,131072,1,100.178782
subspace.test,131072,32,16.275984
subspace.test,4096,32,4.600524
subspace.test,65536,8,10.273742
subspace.test,4096,4,1.09679
subspace.test,641100,32,443.892698
subspace.test,16384,32,5.182722
subspace.test,16384,1,9.126597
subspace.test,65536,32,5.431917
subspace.test,641100,4,1686.74138
subspace.test,131072,4,42.560382
subspace.test,16384,8,2.274036
subspace.test,16384,4,4.067564
subspace.test,65536,4,15.661239
subspace.test,256,1,0.149112
subspace.test,131072,8,22.47378
subspace.test,65536,1,50.734202
subspace.test,641100,1,3547.710274
subspace.test,256,32,4.434511
subspace.test,641100,8,970.064312
subspace.test,256,8,0.032127
subspace.test,256,4,0.057828
subspace.test,4096,8,0.593931
subspace.test,4096,1,3.582864
doom3.test,10,1,0.005937
doom3.test,10,8,0.009569
doom3.test,10,4,0.006775
doom3.test,10,32,0.018717
hotline.test,131072,1,101.01765
hotline.test,4096,32,4.501629
hotline.test,1216430,1,13559.345426
hotline.test,131072,4,42.945768
hotline.test,16384,8,4.141317
hotline.test,16384,4,5.93666
hotline.test,256,8,0.046235
hotline.test,4096,8,1.053139
hotline.test,131072,32,14.426164
hotline.test,65536,4,19.944823
hotline.test,131072,8,29.210265
hotline.test,4096,4,1.592943
hotline.test,65536,8,10.074345
hotline.test,16384,1,10.396524
hotline.test,256,32,0.028985
hotline.test,16384,32,3.918452
hotline.test,4096,1,3.625957
hotline.test,65536,32,8.097693
hotline.test,256,4,0.085346
hotline.test,1216430,4,7808.428323
hotline.test,1216430,8,4226.454889
hotline.test,65536,1,51.922415
hotline.test,256,1,0.128788
hotline.test,1216430,32,1552.850112
ssh.test,10,32,0.013339
ssh.test,10,4,0.005587
ssh.test,10,8,0.006914
ssh.test,10,1,0.005099
rtp.test,256,8,0.034013
rtp.test,16384,4,4.085653
rtp.test,65536,32,8.584767
rtp.test,16384,32,1.047272
rtp.test,65536,8,14.109014
rtp.test,1536720,4,7819.05529
rtp.test,131072,8,32.654982
rtp.test,4096,4,1.082892
rtp.test,256,1,0.162381
rtp.test,65536,1,63.498418
rtp.test,131072,32,20.401376
rtp.test,16384,8,2.269846
rtp.test,1536720,8,4612.070255
rtp.test,131072,4,59.188573
rtp.test,16384,1,9.103689
rtp.test,1536720,1,15216.846076
rtp.test,256,32,0.024584
rtp.test,4096,8,0.588693
rtp.test,4096,32,0.295638
rtp.test,1536720,32,1640.765257
rtp.test,256,4,0.058876
rtp.test,131072,1,177.191929
rtp.test,65536,4,26.618937
rtp.test,4096,1,2.077503
kugoo.test,65536,8,11.573002
kugoo.test,4096,4,1.490137
kugoo.test,4096,32,0.414439
kugoo.test,16384,32,1.356111
kugoo.test,577340,8,685.101808
kugoo.test,577340,4,1207.571528
kugoo.test,131072,1,119.621518
kugoo.test,16384,4,5.340075
kugoo.test,65536,4,20.353466
kugoo.test,131072,32,15.541811
kugoo.test,16384,1,12.19529
kugoo.test,131072,8,26.708196
kugoo.test,65536,1,63.392052
kugoo.test,256,8,0.033244
kugoo.test,16384,8,3.006044
kugoo.test,256,4,0.058387
kugoo.test,131072,4,49.073165
kugoo.test,577340,32,317.121715
kugoo.test,65536,32,8.691555
kugoo.test,577340,1,2141.104273
kugoo.test,256,1,0.161823
kugoo.test,256,32,0.025352
kugoo.test,4096,1,4.656397
kugoo.test,4096,8,0.807576
smtp.test,4096,32,0.169156
smtp.test,16384,32,0.978129
smtp.test,4096,1,2.644546
smtp.test,19700,8,2.34716
smtp.test,19700,32,5.312627
smtp.test,256,1,0.080877
smtp.test,16384,8,1.886905
smtp.test,256,32,0.021022
smtp.test,19700,4,4.340924
smtp.test,16384,1,9.544249
smtp.test,16384,4,3.49703
smtp.test,256,4,0.047912
smtp.test,4096,4,0.832928
smtp.test,19700,1,10.79874
smtp.test,4096,8,0.419956
smtp.test,256,8,0.028845
dazhihui.test,10,8,0.007473
dazhihui.test,10,4,0.006356
dazhihui.test,10,1,0.005098
dazhihui.test,10,32,4.103253
dns.test,65536,8,13.114892
dns.test,131072,8,385.691503
dns.test,131072,32,353.469395
dns.test,65536,32,18.504555
dns.test,65536,4,22.741066
dns.test,4096,4,1.494188
dns.test,131072,1,580.435441
dns.test,4096,1,4.673438
dns.test,8533670,8,87456.387608
dns.test,256,1,0.128089
dns.test,65536,1,72.393219
dns.test,16384,8,13.012016
dns.test,16384,1,21.052859
dns.test,8533670,4,146897.785111
dns.test,16384,32,12.623209
dns.test,256,32,4.420404
dns.test,256,8,0.045747
dns.test,8533670,32,34085.066748
dns.test,8533670,1,312465.294351
dns.test,16384,4,14.459339
dns.test,4096,8,0.74437
dns.test,4096,32,0.362617
dns.test,131072,4,477.585914
dns.test,256,4,0.085486
ssl.test,16384,1,10.742727
ssl.test,131072,1,226.716762
ssl.test,131072,32,30.466222
ssl.test,1475250,32,1038.711439
ssl.test,256,1,0.129486
ssl.test,4096,4,1.722569
ssl.test,16384,4,6.842853
ssl.test,131072,8,59.736481
ssl.test,4096,8,1.26825
ssl.test,4096,1,3.425861
ssl.test,131072,4,121.586712
ssl.test,1475250,1,10571.177036
ssl.test,16384,32,4.41286
ssl.test,65536,32,9.855043
ssl.test,65536,4,21.902268
ssl.test,4096,32,4.290219
ssl.test,1475250,8,2746.849713
ssl.test,256,8,0.046724
ssl.test,256,4,0.079619
ssl.test,16384,8,4.842384
ssl.test,256,32,4.440517
ssl.test,65536,8,12.647582
ssl.test,65536,1,66.313028
ssl.test,1475250,4,4467.200734
battlefield2142.test,131072,32,21.788289
battlefield2142.test,193050,1,331.935327
battlefield2142.test,65536,4,28.477351
battlefield2142.test,4096,1,5.346291
battlefield2142.test,65536,32,8.65461
battlefield2142.test,4096,4,2.378939
battlefield2142.test,65536,8,18.01343
battlefield2142.test,193050,8,68.134777
battlefield2142.test,256,1,0.148413
battlefield2142.test,4096,32,4.733293
battlefield2142.test,16384,4,7.891591
battlefield2142.test,131072,4,76.21536
battlefield2142.test,65536,1,91.942042
battlefield2142.test,193050,4,133.423656
battlefield2142.test,256,32,0.02228
battlefield2142.test,193050,32,33.839496
battlefield2142.test,16384,1,18.907959
battlefield2142.test,256,4,0.056641
battlefield2142.test,4096,8,1.213424
battlefield2142.test,131072,1,184.218414
battlefield2142.test,131072,8,39.01684
battlefield2142.test,16384,32,5.664069
battlefield2142.test,256,8,0.031988
battlefield2142.test,16384,8,5.213104
ident.test,1680,32,4.508264
ident.test,256,8,0.025492
ident.test,1680,4,0.520179
ident.test,1680,1,1.054606
ident.test,256,32,0.0176
ident.test,256,4,0.040997
ident.test,256,1,0.052102
ident.test,1680,8,0.267632
soulseek.test,4096,4,2.909873
soulseek.test,256,32,0.031498
soulseek.test,587430,32,532.735867
soulseek.test,131072,32,25.127126
soulseek.test,16384,32,2.89786
soulseek.test,16384,8,5.351528
soulseek.test,65536,4,31.685374
soulseek.test,256,8,0.046025
soulseek.test,16384,4,9.453106
soulseek.test,65536,32,13.707496
soulseek.test,4096,1,8.045661
soulseek.test,131072,4,101.363362
soulseek.test,4096,32,0.865685
soulseek.test,256,1,0.261766
soulseek.test,16384,1,24.854186
soulseek.test,65536,1,115.630566
soulseek.test,587430,8,1169.17681
soulseek.test,65536,8,17.992894
soulseek.test,4096,8,1.580232
soulseek.test,131072,8,56.70236
soulseek.test,587430,4,2042.21896
soulseek.test,131072,1,222.58208
soulseek.test,256,4,0.077105
soulseek.test,587430,1,4712.304781
runesofmagic.test,65536,32,6.485404
runesofmagic.test,65536,8,10.545146
runesofmagic.test,897140,4,4328.726217
runesofmagic.test,16384,1,9.224863
runesofmagic.test,65536,4,20.957524
runesofmagic.test,16384,32,1.089037
runesofmagic.test,256,4,0.059086
runesofmagic.test,65536,1,39.846973
runesofmagic.test,16384,4,4.414746
runesofmagic.test,131072,8,28.433418
runesofmagic.test,4096,4,1.133177
runesofmagic.test,897140,8,2854.87978
runesofmagic.test,131072,1,123.730704
runesofmagic.test,256,32,4.931433
runesofmagic.test,16384,8,2.293312
runesofmagic.test,4096,8,0.599309
runesofmagic.test,897140,32,925.552278
runesofmagic.test,4096,1,2.21977
runesofmagic.test,256,1,0.164337
runesofmagic.test,131072,4,42.924255
runesofmagic.test,256,8,0.034083
runesofmagic.test,4096,32,0.276013
runesofmagic.test,131072,32,15.408692
runesofmagic.test,897140,1,7273.334124
irc.test,256,32,4.429692
irc.test,16384,32,5.214081
irc.test,65536,4,40.134301
irc.test,65536,8,21.452281
irc.test,4096,8,0.531005
irc.test,131072,32,86.571371
irc.test,440800,8,745.503362
